Nama_Tempat,Photo_URL,Gmaps_Link,Waktu_Buka
Camping Mawar,https://asset.kompas.com/crops/q-JVZDgkznfnUxTZmgsQQhAY5DU=/6x9:707x476/1200x800/data/photo/2024/05/10/663e2958926ff.jpeg,https://maps.app.goo.gl/y1k1Zi7D6HCAaccu9,Check In - Out : 12.00 - 11.10
Ratan Lurung Basecamp Gedongsongo,https://i.ytimg.com/vi/6raFcfJkUu8/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA_3aLZla1-q22bcc8NS06lp5X1lw,https://maps.app.goo.gl/exPnTJH47U3HMnqH6,Check In - Out : 12.00 - 11.11
Camp Ground Puncak Ungaran,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg0lFByz5IrgTdtftV35sdj3S2ljKeJJH3JnhB9ziTpS_aFC5QJMlWjZIaYWghZvo2LXcgM4KCrWFC4snrnBBXqAVIKtIbdrFuLJaN5i3UwadMJwOKmtNuDvp_JWHbpzUOZ-XfvXHmQEtI/s1600/gunung+ungaran+1.jpg,https://maps.app.goo.gl/mTXEUH8AVeVtYEj26,Check In - Out : 12.00 - 11.12
Telaga Cebong,https://i1.wp.com/kemana-lagi.com/wp-content/uploads/2018/03/1520594908-picsay.jpg?w=600&ssl=1,https://maps.app.goo.gl/zjxwLACnCy5LZHgEA,Check In - Out : 12.00 - 11.13
CAUB (Camp Area Umbul Bengkok),https://yukdolan.com/wp-content/uploads/2023/02/Camp-Area-Umbul-Bengkok-Baturraden.jpg,https://maps.app.goo.gl/9k4TyT7pSCaEhbwv6,Check In - Out : 12.00 - 11.14
Camping Ground Pantai Menganti,https://thumbs.tvonenews.com/thumbnail/2022/10/17/634cb76ee338b-lokasi-camping-ground-di-pantai-menganti-saat-weekend-minggu-16102022_1265_711.jpg,https://maps.app.goo.gl/Kc5Sk5TTEBTS3Z4F8,Check In - Out : 12.00 - 11.15
Bukit Camping Menganti Beach,https://awsimages.detik.net.id/community/media/visual/2022/10/09/suasana-di-pantai-menganti-kebumen-2_169.jpeg?w=620,https://maps.app.goo.gl/UHEjyf92UYXoJA5T8,Check In - Out : 12.00 - 11.16
Potrobayan River Camp,https://awsimages.detik.net.id/community/media/visual/2024/05/09/camping-2_169.jpeg?w=600&q=90,https://maps.app.goo.gl/RPk2iuZavtUWZ3B8A,"Camping : Jam 14.00 - 11.00 WIB
Jasa pasang dan sewa alat kemah (Paling lambat booking H-3 dan tidak bisa sewa ditempat)
Khusus jasa pasang tenda dari luar tidak menerima bongkar"
Pantai Wohkudu,https://nagantour.com/wp-content/uploads/2023/07/camping-di-pantai-wohkudu.webp,https://maps.app.goo.gl/75djSSyTixtXgkvR9,Check In - Out : 12.00 - 11.00
Watu Kodok Beach,https://pix10.agoda.net/hotelImages/35077710/0/fd9c4708905d74966d8b5126a5edc700.jpg?ce=0&s=414x232&ar=16x9,https://maps.app.goo.gl/AgdcLhxVKd1xp4sm9,Check In - Out : 12.00 - 11.01
Ledok Sambi Ecopark,https://asset.kompas.com/crops/f0YKaHby3_RUheIfdhYwLzp9ZkM=/0x375:2832x2263/750x500/data/photo/2020/12/16/5fd96dab63fa0.jpg,https://maps.app.goo.gl/aq16BDawr1S4HKT58,Check In - Out : 12.00 - 11.02
Campground Sekipan,https://asset-2.tribunnews.com/solo/foto/bank/images/bumi-sekipan-di-kecamatan-tawangmangu-kabupaten-karangany.jpg,https://maps.app.goo.gl/W1twPYz2aSSaFRZKA,Check In - Out : 12.00 - 11.03
Telaga Dringo,https://magelangekspres.disway.id/upload/cc8cdf6f88c796625c8a045c48d9814d.jpeg,https://maps.app.goo.gl/LydXFga2U725Ken26,Check In - Out : 12.00 - 11.04
Bumi Perkemahan Desa Kajar,https://wisato.id/wp-content/uploads/2022/02/f12.jpg,https://maps.app.goo.gl/MNXZcoaxzLnQisnc7,Check In - Out : 12.00 - 11.05
Camping Ground Karimunjawa,https://www.thehappinezzhills.com/wp-content/uploads/2023/12/Karimunjawa-Camping.webp,https://maps.app.goo.gl/uAxaVbmkPWd6XjBf8,Check In - Out : 12.00 - 11.06
Ekowisata Kali Talang,https://blog.pigijo.com/wp-content/uploads/2023/01/Aktivitas-Wisata-di-Ekowisata-Kali-Talang.jpg,https://maps.app.goo.gl/TAG7NSrqQFBr57jH6,Check In - Out : 12.00 - 11.07
Becici Peak,https://jelajahbantul.bantulkab.go.id/media/user_25/841/18306202387457355_tmp_file,https://maps.app.goo.gl/x8SPdcLqoAHoyoBF7,Check In - Out : 12.00 - 11.08
Kaliurang Forest Camp,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMq35Q1IX778tLa7vrBxfHP6rdqWOHnTuUISr9anSPbWrjZ6BAHgO_vaGp1sDwpN6PAdiyNmQJv4X7XlGf7HRs6p_XBB_zk6lOLaZiFw2ZGkDBc4Ay7UDwM_B3mMV9VG2uMT8ggA=w533-h240-k-no,https://maps.app.goo.gl/b75xYPk7Nyb5PWbW8,Cek Gmaps
Bumi Perkemahan Kedungrejo,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcRdgBbBkGsiCakjSxvsfA0F6udYKsRPhTXxdOuGXAwJjiOfTwAJM9NIi3SGwXDTBL31brolKVoiYiO6YIBYZAzBLCrmuvyJOLupyznq_P9ORVkDn0qUyZrOeeesjORXWAJArc3g=w426-h240-k-no,https://maps.app.goo.gl/eQnxz8Sy9Bh6U6kf8,Cek Gmaps
Camping ground Laguna Pantai Glagah,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbaXlKIijbif1gRnasJxN1QfEU_KyTCWyQp0hvJyMtL0mS0T-3uVeu6ofnbE6n0MDWHJy90XeD9UpNvi2KGVDfdfW0x-KJTFHMRb-fBFnd94SHO1l870ANpniJ7fr3kOMewVUq=w408-h306-k-no,https://maps.app.goo.gl/ZbN34KRDPbq5Q16Q6,Cek Gmaps
Bumi Perkemahan Sambi Sewu - Seropan,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwtMnGnRvBAtngxrECkX3uaR5TbcMoMTW4oS-FNTPa_SYmqJ5W-VAJl9Je-r2kUGTDr2ccu9n1D4Z9qx1LHgtR4McuRwfImREQHw6D-AikYcM4740DR6swjj7_B6pvMWM2XBrnk=w408-h306-k-no,https://maps.app.goo.gl/x63NPetsAYB6HA8j8,Cek Gmaps
Biosfer 2 Camping Ground,https://lh3.googleusercontent.com/p/AF1QipN2krK_N3w8QRc2MmJ4zVQ7KCyJEt8CMHQfztcr=w507-h240-k-no,https://maps.app.goo.gl/VDQM9Kyif9wH1okw7,Cek Gmaps
Bumi Perkemahan Gedang Sari,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqzaOiQFMOqa1WHd14ykIhmNM03kp3jamDE7oR3x_f_2OPg8NpbEpAtHlUj_mTPo0YyLVOTTVS4gskpScYxC8SzsQ7MWX4VMmNnbw3H5UojsGHyhIWbKdnZHlNwVcHL9tSFAU=w426-h240-k-no,https://maps.app.goo.gl/VTfw81WGEdqb3zibA,Cek Gmaps
Bumi Perkemahan Dewi Tinalah,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyEhUn4ISccMlZAWYa6KrymRoPzBDJaav6tjQXwRtm5c1wrImmt_NonGIjt0dFQnt7rmqMQgZJPfqgf7zXw2O43RDdh_TyxePmBXFSxn7kIV8RmnnCa6Vpyj9H9cLObmDEoRoHgBw=w408-h408-k-no,https://maps.app.goo.gl/etATGwYKQctAySAZ8,Cek Gmaps
GLAMPING MENOREH,https://lh3.googleusercontent.com/p/AF1QipM2isTpqeUgPj2h4sDwCyf13w7ox45C_vBauTwN=w408-h306-k-no,https://maps.app.goo.gl/xPKdiMc9BgmjH1Ls8,Cek Gmaps
Camping Ground Wanagama,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzcncWOhfRreiZWKUNsyizPqML4bJiS8CFqFDvkWg59S87ZM83sW_-wLe2Q1eIb62NRmpPbSM9g4GEeULAd1d0Injgn6Ir5UrOTCFeRXqFe8AWY4j0PanJkZbjx7PVj_CfXI3t4=w426-h240-k-no,https://maps.app.goo.gl/XvJKYQ3imTyamXqD6,Cek Gmaps
Watu gendong camping hills outbond center adventure,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw07v2J3hXyr4Fwx0yR4-iPMb2Z8s7dUQOnHgtVcD9h9s0Mh_fReaBxA-agtwPui947h2FJKuWf5BGRRdNErmTvgBn0VP2zAlnrsMc__0R5AUfGnxNdsXtXZ92m21lHMsfsg6l6=w511-h240-k-no,https://maps.app.goo.gl/KjANk53bdNSPDvFM8,Cek Gmaps
Bumi Perkemahan Kleresede,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxOz-XZliAQKLUau7Nn-rRL4nWTzG0QCHVPm1kOjpKXE_VRyDwFmMlokZn7zjssMpXYIvZBu4MfD1ruHvBh-o9ZvzyH4VCsECaP4dUqYuPAdWxIW5fm8BsF_pr2nvBMkR8rrkXJUw=w408-h306-k-no,https://maps.app.goo.gl/BQGMN5XRkRnSfhhu9,Cek Gmaps
GERBANG MERAPI MOUNTAIN VIEW,https://lh3.googleusercontent.com/p/AF1QipNAshM_FD_ekK3pjdzWnCyTiML3HxbyaXUHHTXQ=w426-h240-k-no,https://maps.app.goo.gl/YkXy6FL2s9LsYvQR9,Cek Gmaps
Teras Merapi,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxkkgjv3OKJX4g_a5wPJRsDcq5CNdew9-jyX9Dugs5hI_cztGPAPIRBavDIq76ctnXyy0XqLG7aG0liN2GByFnAyStGQ00QRYLMk0VjQk4sn_Cs9xFMgJ2DGJ8bQSpmEZBEadn_=w408-h306-k-no,https://maps.app.goo.gl/FRvik7kgELF3EPzGA,Cek Gmaps
Sinolewah Camping Ground,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1xgPoxZ824FSS_QVnxGG43AI-sLJSwlevWi_kf2A-6wOG4pX56QzGna_xS33LL2przvcJ469FMEgg7s5xb_eWtWvYaUdKOr03GO1YThKgrRQy8x4sUYpqlCico-xXfSyGYRwGfg=w426-h240-k-no,https://maps.app.goo.gl/fPM3R6vQtKzdEinZ8,Cek Gmaps
SIKUNIR OUTDOOR (bathotis Adventure),https://lh3.googleusercontent.com/p/AF1QipMRELAt4ePpVz9MJkqWDQ0fLMkqV4RcyRZa8Sbz=w408-h544-k-no,https://maps.app.goo.gl/hTiMByhfxv1y9DxU8,Cek Gmaps
Camping Ground Sikunir Sembungan Dieng,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwg_w3eqDcssL4x4SAdgU08Ihu1tl8wOdwgWtzs7s8c0yeRhLahTaw_XrACMqvE-0zC6atHSPsVUzqCjqmVqVNqYaHlzXSqkFeGeFrsouqEvHnCSyD4RkAyTOHLIdq_1Xu80jM=w408-h725-k-no,https://maps.app.goo.gl/zWtN44KtJR1mdAGZ8,Cek Gmaps
Bumi Perkemahan Medini,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxl0mkQPlRGmQsNVOjr0W3e5qu8GT9cdvpbyAgkMb-5TGhBZxjofE6_5WcwKaxGtTSFIZI2c-u10CnjWGTOH6k0jKi91vBl6OO2E5JPzVwbV7DLDkSiG_naFuNEPpQzsiIQFTfm9w=w408-h306-k-no,https://maps.app.goo.gl/vCkhyHKTk6iBtpEs5,Cek Gmaps
Bumi Perkemahan Pleseran Nglurah Tawangmangu,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAjjOfY4gW0z5WGJAw7G1vkwHfSfraCYqeoIYDealkkGkxAe8IGVt5Cok5GxIIQvi1RTi9ojCYpoLTfES0vDv2qoqtl6WfrmjtueqUdKzJwg3LATE9QeKGHjCbpmlVykcX1LEhfmT56wAD=w408-h306-k-no,https://maps.app.goo.gl/yqATJg9xoZwZj28k7,Cek Gmaps
Camping Ground Kampung Sakinah,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxH-LykoTtEpVVkV-5yedaiA0lJU66imKtiM2yonKdm3RxLS6sCebpkuJBlDTkjnmo8mWtluxAKKAbiKV8L6XnXkJdjUAOBxI3dwVluX6N604cMOpMxirPmks0twUzXX2tUKThMmNf-2x0v=w408-h306-k-no,https://maps.app.goo.gl/frNTikrQB5F7UcfQ6,Cek Gmaps
Camping Ground Distoroto Jepara,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyCdBDX025dkvrGE3vjMOba-_Uw7FrDOxNpxGzAaM-B7hHlunkX9DVet84UoPnG2Vx0kMMKGx8IdFWrJ3kUhP5lq3XU7r_AeY0X2nnZi76MM_N9TBEs1zES00yu18hb4bwpzp16=w408-h544-k-no,https://maps.app.goo.gl/1EyNAVDXGSfioKhk7,Cek Gmaps
Bumi Perkemahan Girikaton Pakem Sleman,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwem_48PsJxNu_CoU909tzFsureur6vVgH-sKUWtW1SS_U0eA55hG4BLI0I7qgIECcmN5wE8Kof7vzJeBvny8plSB-iO5KnXo6UjdWA2Yzfc9CLhXxCEipOqKK0UArsGaGr6-mL=w408-h306-k-no,https://maps.app.goo.gl/qR1WkEY7vnp3s7F18,Cek Gmaps
The Joglo Camp,https://lh3.googleusercontent.com/p/AF1QipNf_eX6oB3ipBuiTA0Hb9gRJu95JeWbV6RV4vQv=w533-h240-k-no,https://maps.app.goo.gl/s153aVBCyiquRrhs9,Cek Gmaps
Nawang Jagad,https://lh3.googleusercontent.com/p/AF1QipNFL8fN9-gY2dTLem2jY0FjnpkcC2NLDflwP2bz=w408-h269-k-no,https://maps.app.goo.gl/dPPww8F1AJKVExZp6,Cek Gmaps
Gunung Cilik Kaliurip Wonosobo,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxbwld3kbmiypl8hcZR4cyylXga6wSxQ7OrVJSv_DjO-f38HIyY7BqQM6FT_bflCnOkBBsDU731eYsYEK3iz7XigpJGCgS2e0rcNaxE28Vw4aMzNi2TletO6ldKfGweB-rxu83kGg=w408-h306-k-no,https://maps.app.goo.gl/6FfWL6brMK8NMYBVA,Cek Gmaps
Villa & Camping Ground Pinus Kenteng,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzY548vCUbYdbAEkGcXaSzkQmojyXEFkvmNZh9YwBsg9QtbEnBbu5-dTlofflUWvxD9WxxzNpMCHKEJos-_Uwx0RSVgU7lpQjsEDm-b7wfdQmXnfUT5g-UiItTe8zoQpdVtF7ydcg=w408-h306-k-no,https://maps.app.goo.gl/3u9XuCSt3S3zkMD8A,Cek Gmaps
